id,name,geometry,geo_point_2d
0,Eje 2 Ote y Eje 2 Nte,"{""type"": ""Point"", ""coordinates"": [-99.115806, 19.450028]}","19.450028,-99.115806"
1,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0676213772422, 19.3645188618673]}","19.3645188619,-99.0676213772"
2,Guelatao,"{""type"": ""Point"", ""coordinates"": [-99.0403980680843, 19.3614300231881]}","19.3614300232,-99.0403980681"
3,Vicente Guerrero,"{""type"": ""Point"", ""coordinates"": [-99.0273139507158, 19.358949696197]}","19.3589496962,-99.0273139507"
4,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.126068, 19.422974]}","19.422974,-99.126068"
5,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1511646897278, 19.4256312021596]}","19.4256312022,-99.1511646897"
6,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1375471814678, 19.42414684035]}","19.4241468404,-99.1375471815"
7,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1291706482605, 19.4232595289273]}","19.4232595289,-99.1291706483"
8,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1003217112129, 19.3065766352938]}","19.3065766353,-99.1003217112"
9,Marina Nacional y Lago Bolsena,"{""type"": ""Point"", ""coordinates"": [-99.179936, 19.445171]}","19.445171,-99.179936"
10,Eje 2 Ote y Eje 8 Sur,"{""type"": ""Point"", ""coordinates"": [-99.122022, 19.357545000000002]}","19.357545,-99.122022"
11,Eje 8 Sur y Los Reyes,"{""type"": ""Point"", ""coordinates"": [-99.100532, 19.356144]}","19.356144,-99.100532"
12,Eje 8 Sur y Puente Titla,"{""type"": ""Point"", ""coordinates"": [-99.098374, 19.356547]}","19.356547,-99.098374"
13,Lago Trasimeno,"{""type"": ""Point"", ""coordinates"": [-99.1824488364195, 19.4474120931775]}","19.4474120932,-99.1824488364"
14,Nezahualcoyotl,"{""type"": ""Point"", ""coordinates"": [-99.133223090203, 19.4249721653679]}","19.4249721654,-99.1332230902"
15,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.108396107367, 19.3877213995344]}","19.3877213995,-99.1083961074"
16,V�a Lactea y Ermita Iztapalapa,"{""type"": ""Point"", ""coordinates"": [-99.130107, 19.358442]}","19.358442,-99.130107"
17,Eje 8 Sur y Av. Palmitas,"{""type"": ""Point"", ""coordinates"": [-99.02532, 19.344827]}","19.344827,-99.02532"
18,Eje 8 Sur y Av. de las Minas,"{""type"": ""Point"", ""coordinates"": [-99.020904, 19.345423]}","19.345423,-99.020904"
19,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1149453897787, 19.3117361873298]}","19.3117361873,-99.1149453898"
20,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.1054828075397, 19.3869741018782]}","19.3869741019,-99.1054828075"
21,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.1036815839864, 19.3864952303183]}","19.3864952303,-99.103681584"
22,Eje 1 y J. M. �greda y Sanch�z,"{""type"": ""Point"", ""coordinates"": [-99.128, 19.415538]}","19.415538,-99.128"
23,Eje 2 Ote y Aluminio,"{""type"": ""Point"", ""coordinates"": [-99.115472, 19.451386]}","19.451386,-99.115472"
24,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.1011393188555, 19.3689760654066]}","19.3689760654,-99.1011393189"
25,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0919721296323, 19.3669218910575]}","19.3669218911,-99.0919721296"
26,Carlos L Gracida,"{""type"": ""Point"", ""coordinates"": [-99.0489852304844, 19.3622359698016]}","19.3622359698,-99.0489852305"
27,Eje 8 Sur y Gral. Anaya,"{""type"": ""Point"", ""coordinates"": [-99.102273, 19.355819]}","19.355819,-99.102273"
28,San Antonio Abad y Tlaxcoaque,"{""type"": ""Point"", ""coordinates"": [-99.133527, 19.422613]}","19.422613,-99.133527"
29,Eje 2 Ote y Viaducto,"{""type"": ""Point"", ""coordinates"": [-99.122279, 19.405021]}","19.405021,-99.122279"
30,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0891100587292, 19.3668517548646]}","19.3668517549,-99.0891100587"
31,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0702101164881, 19.3657311971894]}","19.3657311972,-99.0702101165"
32,Eje 8 Sur y Eje 6 Sur,"{""type"": ""Point"", ""coordinates"": [-99.015294, 19.352375]}","19.352375,-99.015294"
33,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1059071771596, 19.3093511141886]}","19.3093511142,-99.1059071772"
34,Mariano Escobedo y M�xico Tacuba,"{""type"": ""Point"", ""coordinates"": [-99.180365, 19.456411]}","19.456411,-99.180365"
35,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.1022483259681, 19.3861862948415]}","19.3861862948,-99.102248326"
36,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.0928993575225, 19.3839466000302]}","19.3839466,-99.0928993575"
37,Eje 1 y Zoquipan,"{""type"": ""Point"", ""coordinates"": [-99.127502, 19.418697]}","19.418697,-99.127502"
38,Miramontes y Calz. Del Hueso,"{""type"": ""Point"", ""coordinates"": [-99.124907, 19.304097]}","19.304097,-99.124907"
39,Plan de Ayala,"{""type"": ""Point"", ""coordinates"": [-99.0316095994754, 19.3603078609263]}","19.3603078609,-99.0316095995"
40,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1346490291201, 19.3082871824649]}","19.3082871825,-99.1346490291"
41,Mariano Escobedo y F. Carrillo Puerto,"{""type"": ""Point"", ""coordinates"": [-99.181818, 19.451091]}","19.451091,-99.181818"
42,Eje 1 y Boturini,"{""type"": ""Point"", ""coordinates"": [-99.127714, 19.41739]}","19.41739,-99.127714"
43,M Cuevas,"{""type"": ""Point"", ""coordinates"": [-99.0630632784527, 19.3637919361319]}","19.3637919361,-99.0630632785"
44,Eje 8 Sur y Reforma Aeron�utica,"{""type"": ""Point"", ""coordinates"": [-99.027962, 19.344278]}","19.344278,-99.027962"
45,Eje 8 Sur y Estrella,"{""type"": ""Point"", ""coordinates"": [-99.089916, 19.358665]}","19.358665,-99.089916"
46,Eje 8 Sur y F. Sarabia,"{""type"": ""Point"", ""coordinates"": [-99.085783, 19.35586]}","19.35586,-99.085783"
47,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1332836437411, 19.3086287312896]}","19.3086287313,-99.1332836437"
48,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1325068803834, 19.3072833384775]}","19.3072833385,-99.1325068804"
49,Marina Nacional y Laguna de Mayran,"{""type"": ""Point"", ""coordinates"": [-99.1762, 19.440721]}","19.440721,-99.1762"
50,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.1004432983414, 19.385723586757]}","19.3857235868,-99.1004432983"
51,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0747497569343, 19.3683331517091]}","19.3683331517,-99.0747497569"
52,Combate de Le�n,"{""type"": ""Point"", ""coordinates"": [-99.0610706881264, 19.3635568741161]}","19.3635568741,-99.0610706881"
53,Fundici�n,"{""type"": ""Point"", ""coordinates"": [-99.0785641637305, 19.3525337072052]}","19.3525337072,-99.0785641637"
54,Eje 8 y E. Corona,"{""type"": ""Point"", ""coordinates"": [-99.093403, 19.357747]}","19.357747,-99.093403"
55,Eje 8 Sur y Ayuntamiento,"{""type"": ""Point"", ""coordinates"": [-99.092069, 19.358111]}","19.358111,-99.092069"
56,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1079755169329, 19.3102089604861]}","19.3102089605,-99.1079755169"
57,Marina Nacional y Lago Garda,"{""type"": ""Point"", ""coordinates"": [-99.182086, 19.449383]}","19.449383,-99.182086"
58,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.0980392447007, 19.3851274446065]}","19.3851274446,-99.0980392447"
59,Eje 2 Ote y Agust�n Ya�ez,"{""type"": ""Point"", ""coordinates"": [-99.12233, 19.366088]}","19.366088,-99.12233"
60,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0733835783309, 19.3674972008623]}","19.3674972009,-99.0733835783"
61,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1120700693948, 19.4199561927229]}","19.4199561927,-99.1120700694"
62,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1290883431756, 19.30979410774]}","19.3097941077,-99.1290883432"
63,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1311113551659, 19.3092573004805]}","19.3092573005,-99.1311113552"
64,Marina Nacional y Mariano Escobedo,"{""type"": ""Point"", ""coordinates"": [-99.182403, 19.448535]}","19.448535,-99.182403"
65,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.1094015261197, 19.3879363581425]}","19.3879363581,-99.1094015261"
66,Sidar y Rovirosa,"{""type"": ""Point"", ""coordinates"": [-99.119631649899, 19.4277353348433]}","19.4277353348,-99.1196316499"
67,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1309643220114, 19.423538863075]}","19.4235388631,-99.130964322"
68,Mariano Escobedo y Lago Bolsena,"{""type"": ""Point"", ""coordinates"": [-99.182671, 19.44552]}","19.44552,-99.182671"
69,Marina Nacional y Ferrocarril de Cuernavaca,"{""type"": ""Point"", ""coordinates"": [-99.181365, 19.447244]}","19.447244,-99.181365"
70,San Antonio Abad y Fray Servando,"{""type"": ""Point"", ""coordinates"": [-99.133383, 19.423651]}","19.423651,-99.133383"
71,Eje 2 Ote y Cto. Interior,"{""type"": ""Point"", ""coordinates"": [-99.122462, 19.36923]}","19.36923,-99.122462"
72,Eje 2 Ote y Eje 3 Sur,"{""type"": ""Point"", ""coordinates"": [-99.121626, 19.40918]}","19.40918,-99.121626"
73,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.102920338364, 19.371819408117]}","19.3718194081,-99.1029203384"
74,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0769827901721, 19.3695304263849]}","19.3695304264,-99.0769827902"
75,Campa�a del Ebano,"{""type"": ""Point"", ""coordinates"": [-99.0534951378328, 19.3627157506722]}","19.3627157507,-99.0534951378"
76,M�xico,"{""type"": ""Point"", ""coordinates"": [-99.0230257265488, 19.3567250043313]}","19.3567250043,-99.0230257265"
77,Eje 8 Sur y San Felipe/San Lorenzo,"{""type"": ""Point"", ""coordinates"": [-99.0738591689885, 19.3506200488582]}","19.3506200489,-99.073859169"
78,Mariano Escobedo y Lago Alberto,"{""type"": ""Point"", ""coordinates"": [-99.183511, 19.439771]}","19.439771,-99.183511"
79,Eje 2 Ote y Rodolfo Usigli,"{""type"": ""Point"", ""coordinates"": [-99.122092, 19.363697]}","19.363697,-99.122092"
80,Eje 2 Ote y Peluqueros,"{""type"": ""Point"", ""coordinates"": [-99.1167, 19.446476]}","19.446476,-99.1167"
81,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1397588316572, 19.4243932522391]}","19.4243932522,-99.1397588317"
82,Tezontle,"{""type"": ""Point"", ""coordinates"": [-99.09601367824, 19.3847076757062]}","19.3847076757,-99.0960136782"
83,Eje 1 y Av. Del Taller,"{""type"": ""Point"", ""coordinates"": [-99.128254, 19.413418]}","19.413418,-99.128254"
84,Eje 2 Ote y Alfonso del Toro,"{""type"": ""Point"", ""coordinates"": [-99.122203, 19.368044]}","19.368044,-99.122203"
85,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0981692499098, 19.3676845222857]}","19.3676845223,-99.0981692499"
86,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0967973242078, 19.3672907854271]}","19.3672907854,-99.0967973242"
87,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0802642246606, 19.3715832726978]}","19.3715832727,-99.0802642247"
88,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0715952175913, 19.3664962806241]}","19.3664962806,-99.0715952176"
89,Eje 8 Sur Pascual Garc�a,"{""type"": ""Point"", ""coordinates"": [-99.095852, 19.357084]}","19.357084,-99.095852"
90,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1282651048716, 19.4231609136222]}","19.4231609136,-99.1282651049"
91,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1200122171448, 19.3116353624063]}","19.3116353624,-99.1200122171"
92,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1240160106736, 19.3111629213178]}","19.3111629213,-99.1240160107"
93,Marinao Escobedo y Mar Negro,"{""type"": ""Point"", ""coordinates"": [-99.181098, 19.455175]}","19.455175,-99.181098"
94,San Antponio Abad y Chimalpopoca,"{""type"": ""Point"", ""coordinates"": [-99.133765, 19.422252]}","19.422252,-99.133765"
95,Eje 2 Ote y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.11748, 19.444283]}","19.444283,-99.11748"
96,Eje 6 sur,"{""type"": ""Point"", ""coordinates"": [-99.0869313862968, 19.3668630750995]}","19.3668630751,-99.0869313863"
97,Eje 8 Sur y Primavera,"{""type"": ""Point"", ""coordinates"": [-99.01764, 19.349952]}","19.349952,-99.01764"
98,Fray Servando y Circunvalaci�n,"{""type"": ""Point"", ""coordinates"": [-99.1492847569639, 19.4254936408793]}","19.4254936409,-99.149284757"
99,Laguna de Mayran,"{""type"": ""Point"", ""coordinates"": [-99.1833253697514, 19.441632348423]}","19.4416323484,-99.1833253698"
100,Mariano Escobedo y Laguna de Termino,"{""type"": ""Point"", ""coordinates"": [-99.182948, 19.443611]}","19.443611,-99.182948"
101,San Antonio Abad e Izazaga,"{""type"": ""Point"", ""coordinates"": [-99.133068, 19.425953]}","19.425953,-99.133068"
102,Eje 2 Ote y Guillermo Prieto,"{""type"": ""Point"", ""coordinates"": [-99.121583, 19.406886]}","19.406886,-99.121583"
103,Deportivo Cuitl�huac,"{""type"": ""Point"", ""coordinates"": [-99.0449935542285, 19.3614773342624]}","19.3614773343,-99.0449935542"
104,Cuauht�moc,"{""type"": ""Point"", ""coordinates"": [-99.0183135422373, 19.3541612701483]}","19.3541612701,-99.0183135422"
105,Eje 8 Sur y Rojo G�mez,"{""type"": ""Point"", ""coordinates"": [-99.086482, 19.356597]}","19.356597,-99.086482"
106,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1013777377579, 19.3071513338028]}","19.3071513338,-99.1013777378"
107,Las bombas,"{""type"": ""Point"", ""coordinates"": [-99.1253958309127, 19.3107509861085]}","19.3107509861,-99.1253958309"
108,Marina Nacional y Laguna de Terminos,"{""type"": ""Point"", ""coordinates"": [-99.177825, 19.442924]}","19.442924,-99.177825"
