instancia,tipo_sede,alcaldia,sede,calle,numero_exterior,numero_interior,colonia,colonia_servicio_postal_mexicano,codigo_postal_servicio_postal_mexicano,referencia_de_ubicacion,latitud,longitud,dias_atencion,horario_ini,horario_fin,telefono_uno,telefono_dos,telefono_tres,telefono_cuatro
FISCALÍA  GENERAL DE JUSTICIA,COORDINACIÓN TERRITORIAL,VENUSTIANO CARRANZA,Coordinación Territorial VC-4,Agricultura,78,S/N,Federal,Federal,15700,Alcaldía Venustiano Carranza,19.421064,-99.083504,Lunes a Domingo,09:00:00,19:00:00,NA,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,VENUSTIANO CARRANZA,Agencia del Ministerio Público Especializada en Atención a Usuarios del STCM Pantitlán,Alberto Branis y Manuel Lebrija,S/N,S/N,Ampliación Adolfo López Mateos,Adolfo López Mateos,15670,Dentro de las instalaciones de la estación Pantitlán,19.416028,-99.074537,Lunes a Viernes,09:00:00,19:00:00,52426559,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,CUAUHTEMOC,Coordinación Territorial CUH-7,Álvaro Obregón,269,S/N,Roma Norte,Roma Norte,06700,Esquina Calle Valladolid (comparte inmueble con SEMOVI),19.417154,-99.167446,Lunes a Domingo,08:00:00,20:00:00,52071619,53468706,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Agencia del Ministerio Público Especializada en Atención a Turistas Nacionales Y Extranjeros,Amberes,54,S/N,Juárez,Juárez,06600,Al interior del Consejo Ciudadano de la Cuidad de México,19.425249,-99.164936,Lunes a Viernes,09:00:00,17:00:00,53455384,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,FISCALÍA ESPECIALIZADA,CUAUHTEMOC,Fiscalía de Investigación de Delitos Sexuales FDS-1,Amberes,54,P/B,Juárez,Juárez,06600,Cerca del metro Insurgentes,19.425264,-99.165015,Lunes a Domingo,00:00:00,23:59:00,53455399,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,COYOACAN,Coordinación Territorial Coy-3,Apaches esq. Eje 3 Oriente,S/N,S/N,San Francisco Culhuacán,San Francisco Culhuacán Barrio De San Francisco,04260,A una cuadra del ESIME Culhuacán,19.334342,-99.113493,Lunes a Domingo,08:00:00,20:00:00,5552009373,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,AZCAPOTZALCO,Coordinación Territorial Az-2 y Az-4,Avenida 22 de febrero esquina Castilla Oriente,S/N,S/N,Del Maestro,Del Maestro,02040,A un costado de la Alcaldía,19.483852,-99.182721,Lunes a Domingo,00:00:00,23:59:00,53468355,53468373,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,GUSTAVO A. MADERO,Coordinación Territorial GAM-4,Avenida 5 de febrero y Vicente Villada,S/N,S/N,Aragón La Villa,Aragón La Villa,07000,Atrás del Edificio Alcaldía Gustavo A. Madero,19.482277,-99.112942,Lunes a Domingo,00:00:00,23:59:00,53468072,53468097,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,MILPA ALTA,Coordinación Territorial MIL-2,Avenida 5 de mayo esquina Prolongación Zaragoza,S/N,S/N,Pueblo San Antonio Tecómitl,Xaltipac,12100,Mercado San Antonio Tecomitl,19.217432,-98.989326,Lunes a Domingo,00:00:00,23:59:00,52009126,NA,NA,NA
FISCALÍA  GENERAL DE JUSTICIA,UNIDAD DE ATENCIÓN TEMPRANA,GUSTAVO A. MADERO,Coordinación Territorial GAM-7 y GAM-8,Avenida 661,S/N,S/N,San Juan De Aragón,San Juan De Aragón,07920,Entre Av. 604 y Av. 606,19.454973,-99.060272,Lunes a Domingo,00:00:00,23:59:00,53468028,NA,NA,NA
